CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
1000,36,5,13,4,3,3,433
1001,243,5,12,2,3,3,233
1002,123,4,8,3,2,2,322
1003,324,4,8,1,2,2,122
1004,29,8,21,4,4,4,444
1005,707,2,4,1,1,1,111
1006,200,4,15,2,2,4,224
1008,89,2,12,3,1,3,313
1009,87,4,9,3,2,2,322
1010,153,5,12,2,3,3,233
1011,22,3,13,4,2,3,423
1012,42,4,11,4,2,3,423
1013,90,8,19,3,4,4,344
1014,89,4,10,3,2,3,323
1015,241,3,7,2,2,2,222
1016,87,4,11,3,2,3,323
1017,92,5,11,3,3,3,333
1018,222,4,8,2,2,2,222
1019,386,1,2,1,1,1,111
1020,79,3,10,3,2,3,323
1021,54,3,8,4,2,2,422
1022,572,3,6,1,2,1,121
1023,186,6,17,2,4,4,244
1024,143,1,4,2,1,1,211
1025,134,3,6,3,2,1,321
1026,217,5,17,2,3,4,234
1027,228,4,9,2,2,2,222
1028,173,5,13,2,3,3,233
1029,292,1,2,1,1,1,111
1031,77,3,7,3,2,2,322
1032,130,5,16,3,3,4,334
1033,199,5,12,2,3,3,233
1034,597,3,9,1,2,2,122
1035,114,5,14,3,3,4,334
1036,710,1,2,1,1,1,111
1037,15,3,10,4,2,3,423
1038,17,6,19,4,4,4,444
1039,214,1,2,2,1,1,211
1040,35,4,11,4,2,3,423
1041,273,4,10,2,2,3,223
1042,76,3,6,3,2,1,321
1043,355,3,8,1,2,2,122
1044,67,2,4,3,1,1,311
1045,36,3,9,4,2,2,422
1046,190,2,4,2,1,1,211
1047,144,3,6,2,2,1,221
1048,74,2,6,3,1,1,311
1049,117,4,8,3,2,2,322
1050,241,6,14,2,4,4,244
1051,51,6,20,4,4,4,444
1052,65,10,27,3,4,4,344
1053,175,6,12,2,4,3,243
1054,71,4,9,3,2,2,322
1055,220,2,6,2,1,1,211
1056,52,3,6,4,2,1,421
1057,571,3,8,1,2,2,122
1058,51,4,8,4,2,2,422
1059,565,2,5,1,1,1,111
1061,117,5,14,3,3,4,334
1062,104,5,16,3,3,4,334
1063,342,2,4,1,1,1,111
1064,159,3,7,2,2,2,222
1065,48,6,14,4,4,4,444
1066,567,3,6,1,2,1,121
1067,164,3,8,2,2,2,222
1068,183,2,4,2,1,1,211
1069,133,4,10,3,2,3,323
1070,421,2,4,1,1,1,111
1071,461,1,3,1,1,1,111
1072,69,2,4,3,1,1,311
1073,28,4,12,4,2,3,423
1074,76,5,10,3,3,3,333
1075,42,4,11,4,2,3,423
1076,78,4,13,3,2,3,323
1077,110,6,14,3,4,4,344
1078,64,2,7,3,1,2,312
1079,113,2,6,3,1,1,311
1080,231,2,5,2,1,1,211
1081,242,5,16,2,3,4,234
1082,597,2,5,1,1,1,111
1083,328,3,7,1,2,2,122
1084,622,1,2,1,1,1,111
1085,138,3,7,3,2,2,322
1086,3,5,14,4,3,4,434
1087,139,9,21,3,4,4,344
1088,31,3,9,4,2,2,422
1089,391,1,2,1,1,1,111
1090,71,3,12,3,2,3,323
1092,83,5,20,3,3,4,334
1093,278,1,2,2,1,1,211
1094,114,8,20,3,4,4,344
1095,62,3,8,3,2,2,322
1096,156,1,2,2,1,1,211
1097,60,6,17,3,4,4,344
1098,49,7,24,4,4,4,444
1099,140,3,6,3,2,1,321
1100,294,3,10,1,2,3,123
1101,368,3,7,1,2,2,122
1102,187,4,10,2,2,3,223
1103,404,4,10,1,2,3,123
1104,65,4,10,3,2,3,323
1105,223,2,6,2,1,1,211
1107,91,8,20,3,4,4,344
1108,154,4,12,2,2,3,223
1109,269,5,12,2,3,3,233
1110,41,7,18,4,4,4,444
1111,41,4,11,4,2,3,423
1112,266,1,4,2,1,1,211
1113,148,4,11,2,2,3,223
1114,174,6,16,2,4,4,244
1115,343,4,8,1,2,2,122
1116,32,8,24,4,4,4,444
1117,221,1,3,2,1,1,211
1118,6,6,18,4,4,4,444
1119,330,1,2,1,1,1,111
1120,96,6,17,3,4,4,344
1121,656,1,2,1,1,1,111
1122,10,3,6,4,2,1,421
1123,49,4,11,4,2,3,423
1124,495,2,4,1,1,1,111
1125,42,5,11,4,3,3,433
1126,228,3,9,2,2,2,222
1127,77,4,12,3,2,3,323
1128,179,4,10,2,2,3,223
1129,375,5,13,1,3,3,133
1130,104,4,11,3,2,3,323
1132,100,3,10,3,2,3,323
1133,150,5,13,2,3,3,233
1134,392,3,7,1,2,2,122
1135,174,3,10,2,2,3,223
1136,58,9,19,4,4,4,444
1137,96,2,6,3,1,1,311
1138,120,3,6,3,2,1,321
1139,346,4,9,1,2,2,122
1140,188,2,8,2,1,2,212
1141,381,4,9,1,2,2,122
1142,201,4,8,2,2,2,222
1143,250,5,12,2,3,3,233
1144,77,7,16,3,4,4,344
1145,85,3,6,3,2,1,321
1146,110,7,20,3,4,4,344
1147,410,3,6,1,2,1,121
1148,95,6,19,3,4,4,344
1149,19,2,7,4,1,2,412
1150,27,4,10,4,2,3,423
1151,105,2,5,3,1,1,311
1152,165,4,8,2,2,2,222
1153,23,6,17,4,4,4,444
1154,228,3,9,2,2,2,222
1155,4,3,8,4,2,2,422
1156,109,1,2,3,1,1,311
1157,453,2,7,1,1,2,112
1158,75,4,11,3,2,3,323
1159,200,3,6,2,2,1,221
1160,41,6,15,4,4,4,444
1161,292,2,7,1,1,2,112
1162,147,5,12,2,3,3,233
1163,17,3,9,4,2,2,422
1164,276,2,5,2,1,1,211
1165,2,4,9,4,2,2,422
1166,576,2,4,1,1,1,111
1167,318,2,4,1,1,1,111
1168,300,3,9,1,2,2,122
1169,381,9,21,1,4,4,144
